Индекс,name,Код КЛАДР,Код ФИАС,Код ОКАТО,Код ОКТМО,Код ИФНС, Часовой пояс,lat,lon,pop
347320, Цимлянск,6104200100000, 27095e32-973c-4d07-929a-c46f63076ea8,60257501000,60657101001,6174, UTC760, 47.6477668, 42.093022,15029
346500, Шахты,6100001200000, dee2e80e-f2e1-4a68-93b0-b7b89b6f3e74,60440000000,60740000001,6182, UTC761, 47.7084247, 40.2159154,240152
391300, Касимов,6200000400000, 5ad034ad-85b5-4106-be01-3d6e8b08cb2c,61405000000,61705000001,6226, UTC762, 54.9373788, 41.3912912,33494
391200, Кораблино,6200700100000, 8ea51b23-4bd6-401a-8e5a-0b3ecaa30081,61212501000,61612101001,6214, UTC763, 53.9245422, 40.0227867,12657
391710, Михайлов,6200900100000, 8afcc513-bb8b-45a9-ac0d-ce8cb43b4c60,61217501000,61617101001,6219, UTC764, 54.2296493, 39.0090857,11783
391160, Новомичуринск,6201200200000, dc0c31cd-e03e-4fc3-a714-1c9f4b61cc7e,61225514000,61625114,6214, UTC765, 54.0377979, 39.7467023,19309
391110, Рыбное,6201400100000, 91d71d8c-2f1a-43c8-bc84-d78dc4245a1b,61227501000,61627101001,6200, UTC766, 54.7255937, 39.513438,18378
391960, Ряжск,6201500100000, 5fdbcd60-a39f-4e15-94ea-ea2c7faba0ce,61230501000,61630101,6214, UTC767, 53.7067718, 40.0521358,21676
390000, Рязань,6200000100000, 86e5bae4-ef58-4031-b34f-5e9ff914cd55,61401000000,61701000001,6200, UTC768, 54.625457, 39.7359992,525062
391430, Сасово,6200000200000, 23c99789-de53-408e-b38d-09c5539cce2f,61410000000,61710000001,6232, UTC769, 54.350807, 41.9117458,28117
391800, Скопин,6200000300000, 1ab7c980-83c4-46c6-b6bf-fc0d6b64b56a,61415000000,61715000001,6219, UTC770, 53.8236028, 39.5493286,30374
391030, Спас-Клепики,6200600100000, 3d67fdec-69f3-461a-bdbc-7455cb849545,61210501000,61610101001,6226, UTC771, 55.1291472, 40.1745036,5917
391050, Спасск-Рязанский,6202000100000, 94484f92-28a1-4880-a723-0af2f4fce2ca,61246501000,61646101,6215, UTC772, 54.4071497, 40.3764367,7745
391550, Шацк,6202400100000, 04b8181c-124d-495d-b8ef-825518186df9,61256501000,61656101001,6225, UTC773, 54.0288845, 41.7182108,6562
445350, Жигулевск,6300000200000, 2f44f8ee-a505-46bf-b6de-6648a166295e,36404000000,36704000,6382, UTC775, 53.4011545, 49.494529,57565
446430, Кинель,6300001000000, 8ca7cbe5-a14b-416a-974a-dfa56e7f396a,36408000000,36708000,6350, UTC776, 53.2209985, 50.6343039,34472
446600, Нефтегорск,6301700100000, 43406101-21a4-4a07-ac5a-0a686f9e8d1c,36230501000,36630101,6377, UTC777, 52.797259, 51.1637126,18732
446200, Новокуйбышевск,6300000300000, cda74a83-ae08-4ba2-b01c-c6fc373222cb,36413000000,36713000001,6330, UTC778, 53.0995303, 49.9477662,108449
445240, Октябрьск,6300000400000, b9a43610-5c01-4ba8-8de7-95facc7e460d,36418000000,36718000,6325, UTC779, 53.1640886, 48.6707463,27244
446300, Отрадный,6300000500000, 05edd5aa-ab64-4afa-b56c-fd5661a14129,36424000000,36724000,6372, UTC780, 53.3800609, 51.3438695,47709
446450, Похвистнево,6300000900000, ddb9cec8-ee07-4788-b80d-39535aea78f9,36427000000,36727000001,6372, UTC781, 53.6498197, 52.1235517,28181
443000, Самара,6300000100000, bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,36401000000,36701000,6300, UTC782, 53.1951657, 50.1067691,1164900
446000, Сызрань,6300000800000, e9e684ce-7d60-4480-ba14-ca6da658188b,36435000000,36735000,6325, UTC783, 53.1557213, 48.4745419,178773
445000, Тольятти,6300000700000, 242e87c1-584d-4360-8c4c-aae2fe90048e,36440000000,36740000,6300, UTC784, 53.5206438, 49.389461,719484
446100, Чапаевск,6300000600000, 90a11c8e-c39f-4bcd-9df4-f89bed18958c,36450000000,36750000001,6330, UTC785, 52.9289662, 49.8674222,72689
412210, Аркадак,6400300100000, 9b58edf4-1ee2-43e0-9df9-d93d48a66ad1,63203501000,63603101001,6400, UTC787, 51.9387813, 43.4997558,12846
412420, Аткарск,6400000300000, 6f9e3e0b-3872-4abf-a2ba-23ae4b196a73,63404000000,63604101,6438, UTC788, 51.8736331, 45.0003199,25620
413840, Балаково,6400000400000, 45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,63407000000,63607101,6439, UTC789, 52.0222694, 47.7828146,199576
412300, Балашов,6400000500000, 574ddbe6-5e16-4e5b-9cf5-5f3be3a8a6c9,63410000000,63608101001,6440, UTC790, 51.5389502, 43.1839828,82222
412900, Вольск,6400000600000, 83f29047-8dd9-411d-ac4b-c5811ea815f1,63413000000,63611101,6441, UTC791, 52.0459932, 47.3873504,66520
413500, Ершов,6401400100000, 2f0ecdcb-c844-4de9-80cc-6d19795ccb3a,63217501000,63617101001,6413, UTC792, 51.3508407, 48.2763313,21447
412480, Калининск,6401600100000, 634cee3a-db47-4b0f-9b90-8be1d5965db5,63221501000,63621101,6438, UTC793, 51.4992917, 44.4710177,16442
412800, Красноармейск,6400000700000, 64954753-8e36-4948-9372-af3a08e88d57,63418000000,63622101001,6432, UTC794, 51.0236026, 45.695141,24362
413230, Красный Кут,6401800100000, 94ff279a-6567-4ac1-8001-42d8fd89605e,63223501000,63623101,6413, UTC795, 50.9596867, 46.9712472,14420
413075, Маркс,6400000800000, c1a0ca30-8b42-4cc8-a16d-2d3392937621,63422000000,63626101,6449, UTC796, 51.7133973, 46.7400684,31535
413360, Новоузенск,6402300100000, 2d06120f-ba70-4866-b46e-ec2bad9c4f42,63230501000,63630101001,6413, UTC797, 50.4551744, 48.1412622,17015
412540, Петровск,6400000900000, b5d97e65-e496-44d0-b025-398a8d43514a,63428000000,63635101,6444, UTC798, 52.3093782, 45.3851649,31158
413720, Пугачев,6400001000000, c1d4d969-0083-4b04-9f4b-e9eaeaefbd6f,63435000000,63637101001,6445, UTC799, 52.0158464, 48.7972652,41705
412030, Ртищево,6400001100000, d08bbea8-4fa3-4597-87ae-0bd79b4a89d2,63440000000,63641101,6446, UTC800, 52.2616298, 43.7842399,41295
410000, Саратов,6400000100000, bf465fda-7834-47d5-986b-ccdb584a85a6,63401000000,63701000,6400, UTC801, 51.530376, 45.9530257,836900
412780, Хвалынск,6400001200000, ac586a68-2f14-403e-9ce0-46c01832652d,63445000000,63649101,6441, UTC802, 52.4950057, 48.1045147,13199
412950, Шиханы,6400000200000, 6c6b065e-9f1c-4afd-ac61-ff8338972818,63545000000,63746000,6441, UTC803, 52.1148241, 47.2022928,6067
413100, Энгельс,6400001300000, c58d0505-54eb-4c34-8216-b14f7cdb0ecb,63450000000,63650101001,6449, UTC804, 51.4854893, 46.1267479,202838
694420, Александровск-Сахалинский,6501800100000, b56de39f-87a4-4c5c-a2b1-9ccb64039774,64405000000,64704000001,6517, UTC812, 50.8973664, 142.1579322,10613
694030, Анива,6500200100000, 7e2a1112-2976-44b8-94a1-c0af2bad7d38,64208501000,64708000001,6501, UTC813, 46.7132526, 142.5265052,8449
694051, Долинск,6500300100000, d1e3874e-1b89-4000-b63e-2a0428adbcd8,64212000000,64712000,6504, UTC814, 47.3255903, 142.7945985,12200
694020, Корсаков,6500400100000, ba09681d-27a6-4784-8369-fa13da3057bf,64415000000,64716000001,6500, UTC815, 46.6323995, 142.7994094,33526
694530, Курильск,6500500100000, 1e3fbbb8-0c90-4a49-a012-9d5813f4f032,64220501000,64720000,6504, UTC816, 45.2271915, 147.8796713,2070
694140, Макаров,6500600100000, eeb17cd3-ea24-4d58-bd46-ad6c333d3de7,64224501000,64724000001,6507, UTC817, 48.6236287, 142.7803508,6788
694740, Невельск,6500700100000, 2bdeaf4a-cbcc-497f-b558-3efc68434d76,64420000000,64728000001,6509, UTC818, 46.6527314, 141.8631741,11682
694490, Оха,6500900100000, 273e561f-aa3b-4057-9225-862563c93287,64425000000,64736000001,6517, UTC819, 53.5868238, 142.941221,23007
694240, Поронайск,6501000100000, 10e40296-e5b1-4688-83d5-838eac25ae72,64430000000,64740000001,6507, UTC820, 49.2387983, 143.1007104,16461
694550, Северо-Курильск,6501100100000, 156ed642-9a53-4830-bec3-88f5e6dedd69,64243501000,64743000001,6504, UTC821, 50.6731056, 156.1280722,2381
694820, Томари,6501300100000, 06eb791a-25e9-4b8e-aaba-4a845b7394db,64248501000,64748000001,6509, UTC822, 47.7619957, 142.061508,4537
694920, Углегорск,6501500100000, c3da66fb-eb91-47c6-934c-b98ed003c82e,64435000000,64652101,6509, UTC823, 49.0816311, 142.0693033,11880
694620, Холмск,6501600100000, 0d5fd8b6-9e5e-44e1-a341-fff1c3c9e1e0,64440000000,64754000001,6509, UTC824, 47.0408637, 142.0416619,30936
693000, Южно-Сахалинск,6500000100000, 44388ad0-06aa-49b0-bbf9-1704629d1d68,64401000000,64701000,6500, UTC825, 46.959133, 142.7381252,181727
624600, Алапаевск,6600002400000, a4ab722e-453a-4aed-bb73-728a05e2e27f,65403000000,65728000,6677, UTC820, 57.8475542, 61.6693934,38198
624000, Арамиль,6602500200000, c99ffa11-6b7e-4040-9f9e-baa1eeca8a91,65241503000,65729000,6685, UTC821, 56.6945341, 60.8343825,14227
623780, Артемовский,6600300100000, fdc6b0ad-4096-43e7-a2e9-16404d2e1f68,65406000000,65703000001,6677, UTC822, 57.3384162, 61.8946599,32878
624260, Асбест,6600000200000, f5fb13f3-c7d2-4075-821b-9cca03f1ae12,65409000000,65730000,6683, UTC823, 57.0052428, 61.4581071,70067
